date,response_type,count
2023-10-10,conversation,35
2023-10-10,element,2
2023-10-10,wikipedia,1
2023-10-11,conversation,9
2023-10-11,element,2
2023-10-11,wikipedia,3
2023-10-12,conversation,4
2023-10-12,element,1
2023-10-12,wikipedia,2
2023-10-13,conversation,1
2023-10-13,element,7
2023-10-13,wikipedia,12
2023-10-14,conversation,13
2023-10-14,element,32
2023-10-14,wikipedia,1
2023-10-15,conversation,3
2023-10-15,element,2
2023-10-15,wikipedia,1
2023-10-19,conversation,11
2023-10-19,element,1
2023-10-19,wikipedia,1
2023-10-20,conversation,4
2023-10-20,wikipedia,3
2023-10-20,element,1
2023-10-20,calculation,47
2023-10-20,dictionary,7
2023-10-23,conversation,1
2023-10-28,conversation,23
2023-10-28,calculation,3
2023-10-28,wikipedia,4
2023-10-28,element,9
2023-10-29,calculation,1
2023-10-29,conversation,1
